rank,task,hash,cost,score,archetype
131,task124,53b68214,264,19.4241,conway_sprite|draw
132,task148,673ef223,263,19.4278,flip_horiz
133,task178,746b3537,261,19.4355,transpose
134,task199,834ec97d,261,19.4355,
135,task341,d6ad076f,260,19.4393,apply_gravity
136,task355,de1cd16c,250,19.4785,all_pixels
137,task316,cdecee7f,246,19.4947,
138,task137,5c2c9af4,241,19.5152,draw
139,task212,8d510a79,240,19.5194,
140,task301,beb8660c,240,19.5194,
141,task169,6e82a1ae,237,19.5319,overlaps
142,task174,72ca375d,236,19.5362,continuous_creature|overlaps
143,task357,e179c5f4,235,19.5404,bounce
144,task029,1c786137,234,19.5447,
145,task055,272f95fa,234,19.5447,
146,task153,681b3aeb,230,19.5619,continuous_creature|diagonally_connected
147,task031,1cf80156,220,19.6064,
148,task088,3de23699,217,19.6201,all_pixels
149,task042,22233c11,217,19.6201,draw
150,task143,63613498,212,19.6434,continuous_creature|overlaps
151,task247,a3325580,212,19.6434,continuous_creature|overlaps
