kind,i,value_ns
sample,91700,41
sample,91800,41
sample,91900,0
sample,92000,0
cumavg,92000,685
sample,92100,42
sample,92200,0
sample,92300,42
sample,92400,41
sample,92500,41
sample,92600,0
sample,92700,0
sample,92800,42
sample,92900,42
sample,93000,0
cumavg,93000,679
sample,93100,42
sample,93200,0
sample,93300,0
sample,93400,0
sample,93500,0
sample,93600,42
sample,93700,42
sample,93800,42
sample,93900,41
sample,94000,42
cumavg,94000,672
sample,94100,41
sample,94200,41
sample,94300,42
sample,94400,0
sample,94500,42
sample,94600,0
sample,94700,42
sample,94800,0
sample,94900,41
sample,95000,41
cumavg,95000,665
sample,95100,0
sample,95200,41
sample,95300,41
sample,95400,41
sample,95500,0
sample,95600,125
sample,95700,42
sample,95800,0
sample,95900,42
sample,96000,0
cumavg,96000,658
sample,96100,41
sample,96200,42
sample,96300,42
sample,96400,0
sample,96500,42
sample,96600,0
sample,96700,42
sample,96800,0
sample,96900,0
sample,97000,42
cumavg,97000,652
sample,97100,41
sample,97200,41
sample,97300,41
sample,97400,0
sample,97500,125
sample,97600,83
sample,97700,125
sample,97800,125
sample,97900,125
sample,98000,125
cumavg,98000,646
sample,98100,125
sample,98200,83
sample,98300,125
sample,98400,42
sample,98500,125
sample,98600,125
sample,98700,125
sample,98800,167
sample,98900,125
sample,99000,125
cumavg,99000,641
sample,99100,83
sample,99200,125
sample,99300,42
sample,99400,125
sample,99500,84
sample,99600,167
sample,99700,125
sample,99800,83
sample,99900,125
sample,100000,167
cumavg,100000,635
sample,100100,42
sample,100200,125
sample,100300,125
sample,100400,83
sample,100500,125
sample,100600,125
sample,100700,125
sample,100800,125
sample,100900,125
sample,101000,125
cumavg,101000,630
sample,101100,125
sample,101200,83
sample,101300,125
sample,101400,84
sample,101500,125
sample,101600,42
sample,101700,125
sample,101800,125
sample,101900,84
sample,102000,83
cumavg,102000,625
sample,102100,125
sample,102200,84
sample,102300,83
sample,102400,1250
sample,102500,125
sample,102600,125
sample,102700,125
sample,102800,125
sample,102900,125
sample,103000,83
cumavg,103000,620
sample,103100,42
sample,103200,125
sample,103300,42
sample,103400,42
sample,103500,42
sample,103600,41
sample,103700,83
sample,103800,83
sample,103900,84
sample,104000,125
cumavg,104000,615
sample,104100,125
sample,104200,42
sample,104300,83
sample,104400,166
sample,104500,125
sample,104600,42
sample,104700,125
sample,104800,125
sample,104900,83
sample,105000,42
cumavg,105000,610
sample,105100,125
sample,105200,41
sample,105300,83
sample,105400,125
sample,105500,125
sample,105600,41
sample,105700,42
sample,105800,125
sample,105900,41
sample,106000,125
cumavg,106000,605
sample,106100,83
sample,106200,41
sample,106300,41
sample,106400,125
sample,106500,84
sample,106600,125
sample,106700,125
sample,106800,41
sample,106900,83
sample,107000,42
cumavg,107000,600
sample,107100,125
sample,107200,125
sample,107300,125
sample,107400,125
sample,107500,42
sample,107600,41
sample,107700,42
sample,107800,42
sample,107900,42
sample,108000,42
cumavg,108000,596
sample,108100,125
sample,108200,125
sample,108300,42
sample,108400,42
sample,108500,42
sample,108600,42
sample,108700,42
sample,108800,42
sample,108900,0
sample,109000,41
cumavg,109000,591
sample,109100,0
sample,109200,42
sample,109300,42
sample,109400,0
sample,109500,0
sample,109600,0
sample,109700,42
sample,109800,42
sample,109900,42
sample,110000,167
cumavg,110000,586
sample,110100,41
sample,110200,41
sample,110300,0
sample,110400,84
sample,110500,42
sample,110600,83
sample,110700,0
sample,110800,42
sample,110900,42
sample,111000,42
cumavg,111000,581
sample,111100,0
sample,111200,42
sample,111300,0
sample,111400,0
sample,111500,41
sample,111600,83
sample,111700,42
sample,111800,42
sample,111900,0
sample,112000,41
cumavg,112000,576
sample,112100,84
sample,112200,0
sample,112300,41
sample,112400,42
sample,112500,42
sample,112600,0
sample,112700,42
sample,112800,42
sample,112900,0
sample,113000,0
cumavg,113000,571
sample,113100,0
