rank,task,hash,cost,score,archetype
332,task188,7b7f7511,56,20.9746,
333,task317,ce22a75a,56,20.9746,random_pixels
334,task100,445eab21,54,21.0110,transpose
335,task395,fafffa47,53,21.0297,random_pixels
336,task347,dae9d2b5,52,21.0488,random_pixels
337,task006,0520fde7,51,21.0682,grid_intersect|random_pixels
338,task021,1190e5a7,51,21.0682,
339,task262,a85d4709,50,21.0880,
340,task359,e26a3af2,50,21.0880,random_pixels|transpose
341,task269,ac0a08a4,49,21.1082,all_pixels|grid_enhance
342,task334,d4469b4b,49,21.1082,all_pixels
343,task202,855e0971,48,21.1288,transpose
344,task010,08ed6ac7,44,21.2158,
345,task289,b91ae062,44,21.2158,all_pixels|grid_enhance
346,task167,6e02f1e3,43,21.2388,
347,task293,ba97ae07,42,21.2623,
348,task024,178fcbfb,40,21.3111,
349,task110,484b58aa,40,21.3111,
350,task291,b9b7f026,40,21.3111,overlaps
351,task303,c1d99e64,39,21.3364,
352,task098,4347f46a,37,21.3891,overlaps
353,task399,ff28f65a,34,21.4736,
354,task045,22eb0ac0,33,21.5035,
355,task043,2281f1f4,32,21.5343,
356,task047,23581191,30,21.5988,
357,task113,496994bd,30,21.5988,
358,task385,f25ffba3,30,21.5988,flip_horiz
359,task389,f76d97a5,30,21.5988,all_pixels
360,task063,2bee17df,28,21.6678,transpose
361,task296,bc1d5164,28,21.6678,random_pixels
362,task056,27a28665,24,21.8219,
363,task186,794b24be,24,21.8219,all_pixels
364,task116,4c4377d9,23,21.8645,random_pixels
365,task150,67a3c6ac,22,21.9090,
366,task155,68b16354,22,21.9090,
367,task164,6d0aefbc,22,21.9090,
368,task210,8be77c9e,22,21.9090,random_pixels
369,task311,c9e6f938,22,21.9090,random_pixels
370,task082,3ac3eb23,21,21.9555,
371,task052,25d8a9c8,20,22.0043,
372,task130,5614dbcf,20,22.0043,all_pixels
373,task166,6d75e8bb,20,22.0043,flip_horiz|transpose
374,task299,bdad9b1f,20,22.0043,flip_horiz
375,task314,cbded52d,19,22.0556,
376,task073,3618c87e,16,22.2274,
377,task172,6fa7a44f,16,22.2274,
378,task103,44f52bb0,15,22.2919,all_pixels
379,task372,e98196ab,13,22.4351,random_pixels
380,task016,0d3d703e,10,22.6974,
381,task017,0dfd9992,10,22.6974,
382,task061,29ec7d0e,10,22.6974,
383,task197,82819916,10,22.6974,
384,task276,b1948b0a,10,22.6974,random_pixels
385,task305,c3f564a4,10,22.6974,
386,task309,c8f0f002,10,22.6974,
387,task312,c9f8e694,10,22.6974,overlaps
388,task337,d511f180,10,22.6974,
389,task373,e9afcf9a,8,22.9206,
390,task053,25ff71a9,6,23.2082,all_pixels
391,task087,3c9b0459,5,23.3906,
392,task140,6150a2bd,5,23.3906,
393,task223,9172f3a0,5,23.3906,all_pixels|grid_enhance
394,task307,c59eb873,4,23.6137,grid_enhance|random_pixels
395,task326,d10ecb37,4,23.6137,
396,task135,5bd6f4ac,2,24.3069,
397,task129,5582e5ca,1,25.0000,all_pixels
398,task067,2dee498d,0,25.0000,
399,task179,74dd1130,0,25.0000,transpose
400,task241,9dfd6313,0,25.0000,
